shot_angle,shot_distance,keeper_angle,keeper_scope,keeper_scope_angle,keeper_distance,is_penalty,is_freekick,is_openplay,nearest_player_distance,blocking_players_count,blocking_player_mean_distance,teammates_count,keep_angle_by_shot_angle,scope_angle_by_shot_angle,body_part,season,is_goal
13.02,29.68,5.55,4.119,14.42,27.46,False,False,True,10.63,1,10.63,0,0.42626728110599077,1.1075268817204302,Right Foot,2014/2015,False
16.18,28.07,7.7,3.9119999999999995,17.02,26.08,False,False,True,5.0,3,9.39,1,0.4758961681087763,1.0519159456118665,Right Foot,2014/2015,False
17.91,17.69,12.8,2.0174999999999996,12.85,13.45,False,False,True,-1,0,-1,0,0.7146845337800112,0.7174762702400893,Right Foot,2014/2015,False
11.89,17.89,8.91,2.148,7.33,14.32,False,False,True,4.47,1,4.47,0,0.7493692178301093,0.616484440706476,Right Foot,2014/2015,False
19.52,19.42,8.46,2.3715,14.16,15.81,False,False,True,2.83,1,2.83,0,0.43340163934426235,0.7254098360655737,Left Foot,2014/2015,False
33.69,12.65,15.26,1.71,16.49,11.4,False,False,True,2.0,1,2.0,0,0.4529533986346097,0.48946274859008604,Left Foot,2014/2015,False
57.99,6.4,12.99,0.849,12.25,5.66,False,False,True,-1,0,-1,0,0.2240041386445939,0.2112433178134161,Right Foot,2014/2015,True
40.7,10.44,5.71,1.2,17.06,8.0,False,False,True,1.0,1,1.0,0,0.1402948402948403,0.4191646191646191,Head,2014/2015,False
24.78,18.11,8.43,2.589,16.81,17.26,False,False,True,3.0,2,5.3100000000000005,1,0.34019370460048426,0.678369652945924,Right Foot,2014/2015,False
17.86,24.74,10.36,3.5309999999999997,16.7,23.54,False,False,True,12.08,1,12.08,0,0.58006718924972,0.93505039193729,Right Foot,2014/2015,False
19.44,20.59,9.8,2.55,15.15,17.0,False,False,True,4.12,1,4.12,0,0.5041152263374485,0.779320987654321,Left Foot,2014/2015,False
58.86,6.71,54.46,0.636,12.24,4.24,False,False,True,1.0,1,1.0,0,0.9252463472646959,0.20795107033639143,Right Foot,2014/2015,True
11.78,30.61,1.38,4.671,12.77,31.14,False,True,False,10.3,6,12.141666666666666,2,0.11714770797962648,1.0840407470288624,Left Foot,2014/2015,False
